Birthplace,Name,Born,Died,Deathplace
England (UK),Betsy Baker,"Aug. 20, 1842","Oct. 24, 1955",U.S. (NE)
England (UK),Jennie Howell,"Feb. 11, 1845","Dec. 16, 1956",U.S. (CA)
Denmark,Anne Marie Carstenson,"Jan. 24, 1849","Mar. 30, 1958",U.S. (NE)
U.S. (IN),Nancy Ryan,"Sept. 5, 1849","Oct. 17, 1958",U.S. (IN)
Netherlands,Christina Karnebeek-Backs,"Oct. 2, 1849","Oct. 7, 1959",Netherlands
Norway,Marie Olsen,"May 1, 1850","Nov. 24, 1959",Norway
U.S. (MI),Mary Kelly,"June 7, 1851","Dec. 30, 1964",U.S. (CA)
England (UK),Elizabeth Kensley,"May 12, 1855","Mar. 6, 1965",England (UK)
U.S. (TX),William Fullingim,"July 7, 1855","Aug. 6, 1965",U.S. (OK)
England (UK),Hannah Smith,"Jan. 7, 1856","Jan. 10, 1966",England (UK)
England (UK),John Turner,"June 15, 1856","Mar. 21, 1968",England (UK)
South Africa,Johanna Booysen,"Jan. 17, 1857","June 16, 1968",South Africa
Czechoslovakia,Marie Bernatkova,"Oct. 22, 1857","May 4, 1969",Czechoslovakia
England (UK),Ada Roe,"Feb. 6, 1858","Jan. 11, 1970",England (UK)
Spain,Josefa Salas Mateo,"July 14, 1860","Feb. 27, 1973",Spain
England (UK),Alice Stevenson,"July 10, 1861","Aug. 18, 1973",England (UK)
N. Ireland (UK),Elizabeth Watkins[2],"Mar. 10, 1863","Oct. 31, 1973",N. Ireland (UK)
Japan,Mito Umeta,"Mar. 27, 1863","May 31, 1975",Japan (Kumamoto)
Japan,Niwa Kawamoto,"Aug. 5, 1863","Nov. 16, 1976",Japan (Shiga)
U.S. (MO),Sophia De Muth [3],"June 30, 1866","Dec. 2, 1977",U.S. (MO)
France,Marie-Virginie Duhem,"Aug. 2, 1866","Apr. 25, 1978",France
U.S. (IL),Fannie Thomas,"Apr. 14, 1867","Jan. 22, 1981",U.S. (CA)
France,Augustine Teissier,"Jan. 2, 1869","Mar. 8, 1981",France
U.S. (NH),Nellie Spencer,"Aug. 24, 1869","Nov. 13, 1982",U.S. (NJ)
U.S. (MO),Emma Wilson,"May 12, 1870","Oct. 13, 1983",U.S. (MO)
U.S. (VA),Mathew Beard[4],"July 9, 1870","Feb. 16, 1985",U.S. (FL)
Germany (now Poland) [5],Augusta Holtz,"Aug. 3, 1871","Oct. 21, 1986",U.S. (MO)
U.S. (CA),Mary McKinney,"May 30, 1873","Feb. 2, 1987",U.S. (CA)
England (UK),Anna Eliza Williams,"June 2, 1873","Dec. 27, 1987",Wales (UK)
U.S. (PA),Florence Knapp,"Oct. 10, 1873","Jan. 11, 1988",U.S. (PA)
France,Jeanne Calment [6],"Feb. 21, 1875","Aug. 4, 1997",France
Canada (Que),Marie-Louise Meilleur,"Aug. 29, 1880","Apr. 16, 1998",Canada (ONT)
U.S. (PA),Sarah Knauss,"Sept. 24, 1880","Dec. 30, 1999",U.S. (PA)
England (UK),Eva Morris,"Nov. 8, 1885","Nov. 2, 2000",England (UK)
France,Marie Bremont,"Apr. 25, 1886","June 6, 2001",France
U.S. (MI),Maud Farris-Luse,"Jan. 21, 1887","Mar. 18, 2002",U.S. (MI)
England (UK),Grace Clawson [7],"Nov. 15, 1887","May 28, 2002",U.S. (FL)
Cape Verde (Portugal)[8],Adelina Domingues,"Feb. 19, 1888","Aug. 21, 2002",U.S. (CA)
U.S. (NY),Mae Harrington,"Jan. 20, 1889","Dec. 29, 2002",U.S. (NY)
Japan,Yukichi Chuganji,"Mar. 23, 1889","Sept. 28, 2003",Japan (Fukuoka)
Japan,Mitoyo Kawate,"May 15, 1889","Nov. 13, 2003",Japan (Hiroshima)
Puerto Rico,Ramona Trinidad Iglesias-Jordan[9],"Aug. 31, 1889","May 29, 2004",Puerto Rico
Ecuador,Maria Esther de Capovilla[10],"Sept. 14, 1889","Aug. 27, 2006",Ecuador
U.S. (TN),Elizabeth Bolden,"Aug. 15, 1890","Dec. 11, 2006",U.S. (TN)
Puerto Rico,Emiliano Mercado Del Toro,"Aug. 21, 1891","Jan. 24, 2007",Puerto Rico
U.S. (NC),Emma Tillman,"Nov. 22, 1892","Jan. 28, 2007",U.S. (CT)
Japan,Yone Minagawa,"Jan. 4, 1893","Aug. 13, 2007",Japan (Fukuoka)
U.S. (IN),Edna Parker,"Apr. 20, 1893","Nov. 26, 2008",U.S. (IN)
Portugal,Maria de Jesus,"Sept. 10, 1893","Jan. 2, 2009",Portugal
U.S. (GA),Gertrude Baines,"Apr. 6, 1894","Sept. 11, 2009",U.S. (CA)
Japan,Kama Chinen,"May 10, 1895","May 2, 2010",Japan (Okinawa)
France,Eugenie Blanchard,"Feb. 16, 1896","Nov. 4, 2010",France (St. Barts)
Brazil,Maria Gomes Valentim [11],"July 9, 1896","June 21, 2011",Brazil
U.S. (TN),Besse Cooper,"Aug. 26, 1896","Dec. 4, 2012",U.S. (GA)
Italy,Dina Manfredini,"Apr. 4, 1897","Dec. 17, 2012",U.S. (IA)
Japan,Jiroemon Kimura,"Apr. 19, 1897","June 12, 2013",Japan (Kyoto)
Japan,Misao Okawa,"Mar. 5, 1898","Apr. 1, 2015",Japan (Osaka)
U.S. (AR),Gertrude Weaver,"July 4, 1898","Apr. 6, 2015",U.S. (AR)
U.S. (GA),Jeralean Talley,"May 23, 1899","June 17, 2015",U.S. (MI)
U.S. (AL),Susannah Mushatt Jones,"July 6, 1899","May 12, 2016",U.S. (NY)
Italy,Emma Morano,"Nov. 29, 1899","Apr. 15, 2017",Italy
British West Indies (now Jamaica),Violet Brown,"Mar. 10, 1900","Sept. 15, 2017",Jamaica
Japan,Nabi Tajima,"Aug. 4, 1900","Apr. 21, 2018",Japan (Kagoshima)
Japan,Chiyo Miyako,"May 2, 1901","July 22, 2018",Japan (Kanagawa)
Japan,Kane Tanaka,"Jan. 2, 1903",,Japan (Fukuoka)
